#{"t_start": 1741385346.9208233, "env_id": "None"}
r,l,t
-10906.0,288,372.895612
-9905.0,288,376.636872
-10955.0,288,377.089738
-12651.0,288,377.565815
-10539.0,288,378.106985
-10856.0,288,378.584615
-12502.0,288,379.262427
-12076.0,288,380.906694
-11613.0,288,381.376084
-10427.0,288,381.845447
-10793.0,288,382.332015
-11360.0,288,382.802962
-9603.0,288,383.345763
-13096.0,288,383.807731
-11467.0,288,384.281387
-11711.0,288,385.923964
-14217.0,288,386.397159
-10459.0,288,387.089537
-12341.0,288,390.833107
-10120.0,288,391.318762
-10683.0,288,391.791833
-10531.0,288,392.256308
-9853.0,288,394.010118
-11550.0,288,394.470036
-9510.0,288,394.937882
-12414.0,288,395.638147
-11669.0,288,396.108
-12560.0,288,396.585982
-12324.0,288,397.047112
-11744.0,288,398.755841
-14450.0,288,399.223812
-10643.0,288,399.692572
-11301.0,288,400.173538
-11819.0,288,400.638796
-11044.0,288,401.107378
-11307.0,288,405.07707
-10528.0,288,406.780629
-10221.0,288,407.253052
-12865.0,288,407.722122
-13809.0,288,408.191483
-11541.0,288,408.665838
-11469.0,288,409.124511
-11812.0,288,409.593322
-9521.0,288,411.516254
-10860.0,288,412.061302
-10265.0,288,412.519631
-12516.0,288,413.006342
-11318.0,288,413.476442
-10364.0,288,413.956997
-10581.0,288,414.42187
-10086.0,288,416.075133
-11616.0,288,416.539022
-11545.0,288,417.057637
-9773.0,288,421.041377
-11580.0,288,421.507818
-10256.0,288,422.050695
-10873.0,288,422.527188
-8676.0,288,424.171739
-9708.0,288,424.641925
-10324.0,288,425.121781
-11650.0,288,425.577144
-11838.0,288,426.055503
-10449.0,288,426.758509
-11109.0,288,427.324445
-11248.0,288,428.97177
-10149.0,288,429.42515
-12172.0,288,429.896134
-11519.0,288,430.359838
-12788.0,288,430.844041
-10971.0,288,431.29772
-12763.0,288,435.320446
-12047.0,288,436.935392
-10752.0,288,437.460503
-11149.0,288,437.963191
-11973.0,288,438.426921
-13045.0,288,438.893274
-12635.0,288,439.359973
-11174.0,288,439.828258
-10953.0,288,440.299248
-12008.0,288,441.956238
-10728.0,288,442.408645
-11534.0,288,443.19224
-10791.0,288,443.659238
-11858.0,288,444.127772
-13258.0,288,444.59568
-12073.0,288,445.079972
-11412.0,288,446.738469
-11447.0,288,450.496307
-12587.0,288,451.191063
-11961.0,288,451.662866
-11342.0,288,452.131856
-11931.0,288,452.595168
-13694.0,288,453.147846
-12419.0,288,454.804307
-13195.0,288,455.268515
-11993.0,288,455.737961
-10909.0,288,456.206096
-11801.0,288,456.673702
-11568.0,288,457.143375
-13620.0,288,457.612562
-10626.0,288,459.581172
-11967.0,288,460.049153
-12439.0,288,460.506549
-11147.0,288,460.978004
-12800.0,288,461.463387
-12544.0,288,465.207046
-11749.0,288,465.677179
-11882.0,288,467.539876
-11902.0,288,468.020567
-11934.0,288,468.560829
-12773.0,288,469.037858
-11371.0,288,469.492248
-11282.0,288,469.962303
-11609.0,288,470.478539
-11013.0,288,472.114048
-10222.0,288,472.600168
-10655.0,288,473.065467
-10794.0,288,473.59802
-11443.0,288,474.306543
-10011.0,288,474.785312
-11985.0,288,475.240163
-10693.0,288,476.928844
-11272.0,288,480.693561
-11450.0,288,481.159379
-10089.0,288,481.630453
-12711.0,288,482.320079
-11612.0,288,482.785791
-11503.0,288,483.25516
-10365.0,288,485.007548
-10649.0,288,485.474874
-10752.0,288,485.958701
-10719.0,288,486.413403
-10178.0,288,486.882729
-11617.0,288,487.356369
-11426.0,288,487.821884
-11569.0,288,489.583082
-13376.0,288,490.077729
-11691.0,288,490.77298
-11300.0,288,491.242562
-11536.0,288,494.970206
-13942.0,288,495.429997
-11384.0,288,495.899078
-11231.0,288,496.355249
-9646.0,288,498.037644
-12199.0,288,498.741768
-12915.0,288,499.227015
-11618.0,288,499.767531
-12009.0,288,500.223734
-11824.0,288,500.693382
-12280.0,288,501.17719
-11209.0,288,502.820475
-10692.0,288,503.299208
-12278.0,288,503.757016
-11846.0,288,504.226397
-11192.0,288,504.769644
-10347.0,288,505.483768
-11896.0,288,505.949804
-10853.0,288,510.835145
-10981.0,288,511.304586
-11680.0,288,511.75805
-10261.0,288,512.243024
-11541.0,288,512.710193
-11173.0,288,513.402148
-11092.0,288,513.870927
-11533.0,288,515.601302
-12118.0,288,516.074064
-11751.0,288,516.554104
-14207.0,288,517.007354
-11568.0,288,517.478295
-12050.0,288,517.949356
-11925.0,288,518.419467
-10967.0,288,520.118441
-10706.0,288,520.616674
-11852.0,288,521.085672
-10777.0,288,524.981643
-10576.0,288,525.475469
-10172.0,288,525.976973
-12013.0,288,526.483154
-10256.0,288,528.148645
-10634.0,288,528.619161
-10394.0,288,529.084962
-12822.0,288,529.776057
-12481.0,288,530.242719
-11629.0,288,530.698516
-11251.0,288,531.24702
-11534.0,288,532.923824
-11945.0,288,533.394364
-12004.0,288,533.864918
-11400.0,288,534.335572
-9649.0,288,534.793118
-11680.0,288,535.258778
-10927.0,288,535.711951
-11560.0,288,540.873051
-13025.0,288,541.34517
-11306.0,288,541.892683
-12094.0,288,542.349653
-12383.0,288,542.835733
-11526.0,288,543.307122
-10318.0,288,543.759209
-11752.0,288,545.411807
-10540.0,288,546.118288
-10196.0,288,546.627668
-10617.0,288,547.127939
-12283.0,288,547.603655
-11225.0,288,548.080211
-13098.0,288,548.547374
-10466.0,288,548.998389
-11099.0,288,550.66747
-11017.0,288,551.136136
-11497.0,288,555.151139
-11291.0,288,555.62013
-10119.0,288,556.105107
-11713.0,288,556.573119
-10726.0,288,557.127562
-11877.0,288,558.767627
-12084.0,288,559.237749
-10789.0,288,559.703483
-11856.0,288,560.167952
-10400.0,288,560.870152
-13160.0,288,561.340759
-13413.0,288,561.839659
-11386.0,288,563.57289
-10940.0,288,564.037941
-12279.0,288,564.50789
-11969.0,288,564.981321
-10950.0,288,565.450968
-10355.0,288,569.457582
-9347.0,288,569.933947
-11215.0,288,571.62096
-10488.0,288,572.104783
-10143.0,288,572.589937
-11573.0,288,573.069162
-11386.0,288,573.524336
-12125.0,288,573.99946
-11481.0,288,574.466924
-10971.0,288,576.141836
-12286.0,288,576.678138
-12360.0,288,577.381441
-10004.0,288,577.851259
-10471.0,288,578.322673
-10308.0,288,578.800108
-10398.0,288,579.262527
-10333.0,288,580.957986
-13228.0,288,581.420352
-11724.0,288,585.268783
-14457.0,288,585.960381
-10716.0,288,586.430652
-11183.0,288,586.976671
-12755.0,288,587.452736
-12274.0,288,589.107141
-12288.0,288,589.575768
-12091.0,288,590.048805
-11349.0,288,590.507069
-11552.0,288,590.988747
-10593.0,288,591.452562
-12971.0,288,592.003329
-11717.0,288,593.877549
-11122.0,288,594.364758
-10646.0,288,594.852717
-9549.0,288,595.322133
-10584.0,288,595.818321
-12216.0,288,599.562057
-11294.0,288,600.026856
-10785.0,288,601.893687
-11434.0,288,602.4445
-9884.0,288,602.950418
-11191.0,288,603.412171
-12511.0,288,603.86806
-11424.0,288,604.403067
-9896.0,288,604.872862
-10162.0,288,605.342388
-10613.0,288,607.005944
-10494.0,288,607.527536
-13748.0,288,608.008411
-12373.0,288,608.481847
-10241.0,288,609.187261
-11259.0,288,609.656563
-12589.0,288,610.110905
-9703.0,288,615.095685
-11642.0,288,615.578977
-12450.0,288,616.061063
-9782.0,288,616.534882
-10086.0,288,617.236518
-10714.0,288,617.784176
-11162.0,288,618.27483
-10653.0,288,619.926652
-11986.0,288,620.396848
-10838.0,288,620.852353
-11482.0,288,621.322924
-10818.0,288,621.796121
-12221.0,288,622.278607
-12843.0,288,622.748328
-13181.0,288,624.476879
