#{"t_start": 1739931590.9300845, "env_id": "None"}
r,l,t
-11226.0,288,505.080029
-10855.0,288,505.578574
-12109.0,288,507.22487
-10205.0,288,507.712852
-13060.0,288,508.338236
-11452.0,288,508.809009
-12140.0,288,512.677954
-12099.0,288,513.290458
-11025.0,288,513.775669
-12122.0,288,514.248402
-11589.0,288,516.027902
-12638.0,288,516.504667
-11729.0,288,516.984237
-10726.0,288,517.470275
-11800.0,288,517.939669
-9433.0,288,518.551206
-9500.0,288,519.038654
-10205.0,288,520.809602
-10468.0,288,521.298682
-10914.0,288,521.760809
-12029.0,288,522.230315
-11940.0,288,522.715481
-10390.0,288,523.197691
-10894.0,288,523.814848
-11897.0,288,528.929317
-12469.0,288,529.430689
-10223.0,288,529.920159
-11779.0,288,530.541791
-11483.0,288,531.066206
-10319.0,288,531.543766
-13672.0,288,532.029893
-12996.0,288,533.741133
-12153.0,288,534.258906
-11074.0,288,534.744504
-10601.0,288,535.21326
-10351.0,288,535.873204
-13358.0,288,536.367378
-11644.0,288,536.852183
-11028.0,288,538.510041
-11683.0,288,538.99598
-13816.0,288,539.4821
-12225.0,288,543.491061
-13844.0,288,543.96154
-10221.0,288,544.447366
-11495.0,288,544.916069
-11535.0,288,546.711648
-11785.0,288,547.32144
-11673.0,288,547.808821
-9793.0,288,548.295341
-11426.0,288,548.765323
-11906.0,288,549.251333
-10519.0,288,549.737543
-10563.0,288,551.478962
-11772.0,288,551.959267
-12595.0,288,552.588661
-11805.0,288,553.058095
-11074.0,288,553.561447
-10580.0,288,554.048174
-12381.0,288,554.533729
-11897.0,288,559.752892
-9229.0,288,560.252458
-10042.0,288,560.73587
-10803.0,288,561.208389
-11101.0,288,561.678871
-10812.0,288,562.148194
-11371.0,288,562.621066
-9350.0,288,564.429535
-12609.0,288,564.992141
-11315.0,288,565.464068
-11530.0,288,565.93566
-11454.0,288,566.422162
-11102.0,288,566.891894
-13583.0,288,567.377858
-11736.0,288,567.865973
-12165.0,288,569.696247
-12250.0,288,570.227527
-12379.0,288,574.101586
-12978.0,288,574.588534
-12358.0,288,575.232436
-11714.0,288,575.715708
-11226.0,288,576.217997
-10622.0,288,577.906883
-10723.0,288,578.39665
-11164.0,288,578.866484
-12483.0,288,579.337345
-12049.0,288,579.981626
-12914.0,288,580.5273
-10429.0,288,581.006941
-11567.0,288,582.705592
-11071.0,288,583.175502
-11214.0,288,583.646209
-13987.0,288,584.131262
-11215.0,288,584.602023
-11820.0,288,588.614722
-13417.0,288,589.112585
-11936.0,288,590.848918
-10102.0,288,591.329312
-10505.0,288,591.950842
-12457.0,288,592.418516
-10561.0,288,592.905515
-10933.0,288,593.378105
-11635.0,288,593.863534
-10622.0,288,595.577106
-10165.0,288,596.117537
-9855.0,288,596.583736
-10405.0,288,597.212258
-11047.0,288,597.682184
-11568.0,288,598.168071
-10795.0,288,598.653437
-11747.0,288,600.36893
-12471.0,288,600.870759
-10330.0,288,604.830647
-10241.0,288,605.315718
-9556.0,288,605.800816
-11584.0,288,606.331314
-12081.0,288,606.820744
-11129.0,288,608.504869
-11258.0,288,609.146883
-10551.0,288,609.617172
-12130.0,288,610.088732
-10157.0,288,610.574604
-11064.0,288,611.069864
-11759.0,288,611.617847
-12443.0,288,613.294914
-15372.0,288,613.828905
-9590.0,288,614.458132
-11484.0,288,614.943211
-9426.0,288,615.412405
-13469.0,288,619.419755
-13016.0,288,619.906316
-12328.0,288,621.668025
-11395.0,288,622.179788
-12940.0,288,622.644821
-10387.0,288,623.130464
-11263.0,288,623.601982
-10115.0,288,624.073827
-11677.0,288,624.716409
-11323.0,288,625.187356
-12495.0,288,626.919062
-11221.0,288,627.406574
-12145.0,288,627.90758
-11713.0,288,628.392789
-11946.0,288,628.878219
-10644.0,288,629.365642
-11737.0,288,629.977848
-10500.0,288,635.039015
-12218.0,288,635.530303
-11842.0,288,636.011906
-10590.0,288,636.62442
-11872.0,288,637.135349
-12266.0,288,637.635555
-11223.0,288,638.116118
-11646.0,288,639.791274
-9861.0,288,640.268088
-10861.0,288,640.73826
-10618.0,288,641.227111
-10560.0,288,641.836601
-11318.0,288,642.368696
-9855.0,288,642.842395
-10538.0,288,644.531238
-10637.0,288,645.019157
-9805.0,288,645.489076
-11451.0,288,645.960629
-11395.0,288,650.018549
-11944.0,288,650.488333
-11370.0,288,650.977096
-12333.0,288,652.748456
-12688.0,288,653.238989
-11271.0,288,653.865022
-13380.0,288,654.349693
-11422.0,288,654.839076
-10650.0,288,655.340986
-12162.0,288,655.812428
-11044.0,288,657.513513
-11613.0,288,658.019295
-12491.0,288,658.484072
-11922.0,288,659.112517
-11858.0,288,659.586444
-12150.0,288,660.088915
-12405.0,288,660.559915
-11775.0,288,665.818572
-10952.0,288,666.320039
-12542.0,288,666.791734
-12549.0,288,667.277415
-12354.0,288,667.749372
-11548.0,288,668.220649
-12988.0,288,668.707841
-11820.0,288,670.523723
-11971.0,288,671.089162
-10574.0,288,671.561023
-14180.0,288,672.030978
-12644.0,288,672.51802
-11137.0,288,672.989094
-12332.0,288,673.525515
-11793.0,288,675.201508
-11344.0,288,675.948518
-11996.0,288,676.435847
-10297.0,288,680.290239
-13914.0,288,680.761443
